undeniable|【a.】 definitely true or certain 不可否认的；无可争辩的|The link between poverty and bad health is undeniable.
mundane|【a.】 ordinary and not interesting or exciting 平凡的；平淡的；乏味的|The mundane task of setting the table can be fun on holidays.
bacon|【n.】 [U] 咸猪肉；熏猪肉|
rapt|【a.】 (written) so interested in sth. that you do not notice anything else 全神贯注的；专心致志的|She listened to the speaker with rapt attention.
marvel|"【v.】 feel or express great surprise or admiration at sth., esp. sb.'s behavior （尤指对他人的行为）感到惊讶；钦佩；赞美"|I marvel at my mother's ability to remain calm in crisis.
app|【n.】 [C] 应用程序；应用软件|
expose|【vt.】 1) put sb. in a situation where they are not protected from sth. dangerous or unpleasant 使暴露（于险境）；使置身（于危险）当中|The report revealed that workers had been exposed to high levels of radiation.
expose|【vt.】 2) show sth. that is usu. covered or hidden 显露；露出（通常掩盖或隐藏的东西）|He lifted his T-shirt to expose a scar across his chest.
exposed|【a.】 1) not protected from attack 无保护的；易受攻击的|These developments leave the company in an exposed position.
exposed|【a.】 2) not protected from the weather 无遮蔽的；不挡风雨的|This side of the garden is exposed to wind.
nerve|"【n.】 1) [C] any of the long threads that carry messages between the brain and parts of the body, enabling you to move, feel pain, etc. 神经"|She was diagnosed with a rare condition which affected the nerves in her back.
nerve|【n.】 2) (~s) [pl.] feelings of worry or anxiety 神经紧张；焦虑不安|Sean drank a large glass of brandy to calm his nerves.
humanity|【n.】 [U] 1) the state of being human rather than an animal or machine 人性|"When we're in touch with our common humanity, we remember that feelings of disappointment are universal."
humanity|【n.】 [U] 2) people in general 人；人类（总称）|We want a clean environment for all humanity.
interaction|"【n.】 [C, U] 1) (~ with  among) the activity of talking to other people, working together with them, etc. 交流"|The researchers watch through a two-way mirror the interaction between mother and child in a small room.
interaction|"【n.】 [C, U] 2) a process by which two or more things affect each other 相互影响；相互作用"|Price is determined through the interaction of demand and supply.
inhuman|【a.】 1) lacking any human qualities in a way that seems strange or frightening （怪异、恐怖而）异于人类的|I quit this inhuman job. I don't want to work for a machine.
inhuman|【a.】 2) very cruel or without any normal feelings of pity 残暴的；无同情心的|The prisoners had suffered inhuman treatment.
