console|make sb. feel better when they are feeling sad or disappointed 安慰；慰藉|e.g. He [[consoled]] himself that he would see Kate again soon.
heal|"1) become mentally or emotionally strong again after a bad experience, or help sb. to do this （在精神或感情上）（使）复原；（使）坚强起来"|"e.g. Bianca was the kind of woman who could [[heal]] his soul, if he had time to let her.；e.g. It took a long time for the wounds to [[heal]]."
heal|2) (also heal up) become healthy again; make sth. healthy again （使）康复，复原|"e.g. Bianca was the kind of woman who could [[heal]] his soul, if he had time to let her.；e.g. It took a long time for the wounds to [[heal]]."
coincidence|"[C, U] when two things happen at the same time, in the same place, or to the same people in a way that seems surprising or unusual 巧合；巧事"|e.g. I think it is more than [[coincidence]] that all the complaints have come from the same group of people.
therapy|"[C, U] a treatment that helps sb. feel better, grow stronger, etc., esp. after an illness 治疗；疗法"|e.g. Many patients receiving these new [[therapies]] respond rapidly to them and get a lot of clinical benefit.
propose|(fml.) suggest sth. as a plan or course of action 提议；建议|e.g. In his speech he [[proposed]] that the UN should set up an emergency center for the environment.
fleeting|(usu. before noun) lasting for only a short time 短暂的；飞逝的|"e.g. For one [[fleeting]] moment, Paula allowed herself to forget her troubles."
betrayal|"[C, U] the act of betraying sb. / sth. or the fact of being betrayed 背叛；出卖"|e.g. She wondered if he felt hurt at his best friend's [[betrayal]] but didn't have the courage to ask.
companionship|"[U] when you are with sb. you enjoy being with, and are not alone 友谊；友好交往"|"e.g. That feeling of [[companionship]] can make a huge difference, especially at a stressful job."
insight|"[C] a sudden clear understanding of sth. or part of sth., esp. a complicated situation or idea （尤指对复杂情况、看法的）顿悟，猛醒"|e.g. The article gives us a real [[insight]] into the causes of the present economic crisis.
narrator|[C] 叙述者；讲述者|
monologue|[C]  a long speech by one person 长篇独白|e.g. Blogs are not just about one person sharing in a [[monologue]] with everyone else listening.
paradoxically|in a way that is surprising because it is the opposite of what you would expect 自相矛盾地；反常地|"e.g. [[Paradoxically]], the economy is improving although many families complain about the poverty in which they live."
interior|(only before noun) belonging to mental or spiritual life 内心的；精神的|e.g. [[Interior]] monolog is defined as the thoughts you have running through your brain or the things that you silently tell yourself.；e.g. The [[interior]] of the church was dark.
interior|"[C, usu. sing.] the inner part or inside of sth. 内部；里面"|e.g. [[Interior]] monolog is defined as the thoughts you have running through your brain or the things that you silently tell yourself.；e.g. The [[interior]] of the church was dark.
universal|existing everywhere or involving everyone 普遍的；全体的；共同的|e.g. Smiling is apparently a [[universal]] sign of friendliness and approval.
universality|[U] the quality or state of being universal 普遍性；通用性|e.g. His lyrics aim for a certain timeless [[universality]].
timelessness|"[U] the quality of not changing as the years go past, or as fashion changes 永恒；不朽"|"e.g. It is said that all diamonds are symbolic of love, commitment, and [[timelessness]], but adding yellow to the stone gives it even deeper meaning."
subconscious|existing in the mind but not immediately available to consciousness 下意识的；潜意识的|e.g. There are conscious thoughts that you're aware of and [[subconscious]] ones that you're not.
ease|"make or become less severe, difficult, unpleasant, painful, etc. 缓解；减轻"|e.g. The school needs to take some measures to [[ease]] the burden on busy teachers.；e.g. He studied hard every day so that he could pass the exam with [[ease]].
ease|[U] the fact that sth. is easy to do 容易；轻易；不费劲|e.g. The school needs to take some measures to [[ease]] the burden on busy teachers.；e.g. He studied hard every day so that he could pass the exam with [[ease]].
empathetic|(also empathic) having the ability to understand sb. else's feelings or emotions 同情的；共鸣的|"e.g. Providing a loving home environment can help the child to become independent, self-confident, and [[empathetic]] toward others."
mild|1) a mild illness or health problem is not serious 不严重的；轻微的|"e.g. She had a [[mild]] headache, and went to bed much earlier than usual.；e.g. I like this kind of cheese because it has a pleasant [[mild]] flavor."
mild|2) not very strong or hot-tasting 不浓烈的；淡的；不辣的|"e.g. She had a [[mild]] headache, and went to bed much earlier than usual.；e.g. I like this kind of cheese because it has a pleasant [[mild]] flavor."
symptom|[C] sth. wrong with your body or mind which shows that you have a particular illness 症状|e.g. Tiredness is one of the most common [[symptoms]] of stress.
bibliotherapist|[C] 阅读治疗专家|
continually|1) in a way that happens repeatedly 多次重复地；频繁地|e.g. We are [[continually]] reassessing the situation.；e.g. The telephone has been ringing [[continually]] in the office all morning.
continually|2) in a way that continues for a long time without stopping 持续地；不间断地|e.g. We are [[continually]] reassessing the situation.；e.g. The telephone has been ringing [[continually]] in the office all morning.
grieve|"feel extremely sad, esp. because sb. you love has died （尤指因所爱之人去世而）感到悲痛"|"e.g. He died, and every day since then I have [[grieved]] for him."
plot|"[C] the events that form the main story of a book, film, or play （书、电影、戏剧的）情节"|"e.g. Although the cast (全体演员) was different back then, the [[plot]] was strikingly similar."
fictional|"fictional people, events, etc. are imaginary and from a book or story 虚构的；编造的；小说（中）的"|e.g. He has created many lively [[fictional]] characters with his wonderful writing.
retirement|"[C, U] when you stop working, usu. because of your age 退休；退职"|e.g. He became a keen golfer after his [[retirement]] from politics.
transient|(fml.) continuing only for a short time 短暂的；转瞬即逝的；一时的|e.g. The trading data show that these events had minimal and [[transient]] effect on the price of gold and silver.
transience|[U] the state of continuing only for a short time 短暂；转瞬即逝|e.g. History is a combination of permanence and [[transience]].
messy|1) (of a situation) complicated and unpleasant to deal with （状况）棘手的|"e.g. If you find yourself in a [[messy]] situation, please take these five strategies to heart.；e.g. Sorry, the place is so [[messy]] because I haven't had time to clear up."
messy|2) dirty or untidy 脏的；乱的|"e.g. If you find yourself in a [[messy]] situation, please take these five strategies to heart.；e.g. Sorry, the place is so [[messy]] because I haven't had time to clear up."
grief|"[U] extreme sadness, esp. because sb. you love has died 悲痛，极度悲伤（尤指因所爱之人去世）"|e.g. The [[grief]] she felt over Helen's death was almost unbearable.
despair|[U] a feeling that you have no hope at all 绝望|e.g. A few positive words can turn [[despair]] into hope.
memoir|"1) (fml.) a short piece of writing about a person or place that you knew well, or an event that you experienced 传略；实录"|e.g. Her [[memoir]] of her friend will be published soon.；e.g. Angelou's first volume of [[memoirs]] dealt with her childhood.
memoir|2) (~s) [pl.] a book by sb. important and famous in which they write about their life and experiences （名人）回忆录|e.g. Her [[memoir]] of her friend will be published soon.；e.g. Angelou's first volume of [[memoirs]] dealt with her childhood.
narrative|"1) [U] (fml.) the act, process, or skill of telling a story 叙述；叙述技巧"|e.g. The novel contains too much dialog and not enough [[narrative]].；e.g. At several points in the [[narrative]] the two stories cross.
narrative|"2) [C] (fml.) a description of events in a story, esp. in a novel （尤指小说中的）叙述，记叙"|e.g. The novel contains too much dialog and not enough [[narrative]].；e.g. At several points in the [[narrative]] the two stories cross.
optimistic|believing that good things will happen in the future 乐观的；乐观主义的|e.g. Bankers are cautiously [[optimistic]] about the country's economic future.
one after the other|"(also one after another) if a series of events or actions happen one after the other, each one happens soon after the previous one 一个接一个地；接二连三地"|"e.g. The children walked silently, [[one after the other]], into the schoolhouse to begin their lesson."
in the hope of / that|because you want sth. to happen 抱着···的希望|e.g. Shoppers flocked to the sales in the hope of finding a bargain.
evolution|"1) the gradual change and development of an idea, situation, or object 演变；逐步发展"|e.g. [[Evolution]] of language is the gradual change in human language over time.；e.g. The emergence of language was a defining moment in the [[evolution]] of modern humans.
evolution|2) the scientific idea that plants and animals develop and change gradually over a long period of time 进化（论）|e.g. [[Evolution]] of language is the gradual change in human language over time.；e.g. The emergence of language was a defining moment in the [[evolution]] of modern humans.
netspeak|[U] 网络语言|
slang|"[U] very informal words and expressions that are more common in spoken language, esp. used by a particular group of people, e.g. children, soldiers 俚语"|e.g. These are some [[slang]] words teens might use when talking about other people.
abbreviation|[C] a short form of a word or expression 缩略语，缩写 （形式）|e.g. The styling of [[abbreviations]] is inconsistent and includes many possible variations.
stretch|"make sth. bigger or looser by pulling it, or become bigger or looser as a result of being pulled （使）变大；（使）变松；拉长"|e.g. A spider's web can [[stretch]] considerably without weakening.
crowdfunding|[U] 众筹（向大众募集资金的做法，常在因特网上进行）|
selfie|[C] (infml.) 自拍照片|
cyberbullying|[U] the activity of sending Internet or text messages that threaten or insult sb. 网络霸凌（欺凌）|e.g. The school provides guidance for parents on how to deal with issues such as [[cyberbullying]].
pre-existing|(fml.) (only before noun) existing before a particular time or event 先于···存在的|"e.g. But, this research doesn't consider the effects of [[pre-existing]] relationships."
engagement|1) [U] when you become involved with sb. / sth. in order to understand them 密切关系|e.g. Virtual employee [[engagement]] activities are ways to improve the relationship between an organization and its remote workers.；e.g. The man knew about the [[engagement]] and brought them a bottle of champagne as a gift.
engagement|"2) [C] an agreement between two people to marry, or the period of time they are engaged 婚约；订婚期间"|e.g. Virtual employee [[engagement]] activities are ways to improve the relationship between an organization and its remote workers.；e.g. The man knew about the [[engagement]] and brought them a bottle of champagne as a gift.
accelerate|"if a process accelerates or if sth. accelerates it, it happens faster than usual or sooner than you expect （使）加快；（使）加速"|e.g. More efforts will be made in the years ahead to [[accelerate]] the agricultural reform.
lexicon|"[sing.] the vocabulary of a person, language, or branch of knowledge（个人、语言或学科的）词汇"|"e.g. The word ""cloud"" is attached to many terms in the computing [[lexicon]]."
TTFN|"(ta-ta for now) (BrE, infml.) used in emails and text messages to say goodbye to sb. 回头见（用于电子邮件和手机短信中）"|"e.g. Anyway, [[TTFN]], and hopefully I'll have plenty of time to write when I get back."
trace|1) find the origins of when sth. began or where it came from 追溯；追查|e.g. The style of these paintings can be [[traced]] back to early medieval influences.；e.g. Police are trying to [[trace]] a young woman who was seen near the accident.
trace|2) find sb. / sth. that has disappeared by searching for them carefully 仔细找寻|e.g. The style of these paintings can be [[traced]] back to early medieval influences.；e.g. Police are trying to [[trace]] a young woman who was seen near the accident.
doh|(also d'oh) (spoken) used humorously when you have just realized that you have done or said sth. stupid 噢，呀（幽默用法，意识到自己做错事或说错话时发出的感叹语）|"e.g. ""[[Doh]]! That was the biggest mistake in my career,"" said Jack."
directory|"[C] a book or list of names, facts, etc., usu. arranged in alphabetical order （通常按字母顺序排列的）姓名地址录，名录，电话簿"|e.g. I couldn't find your number in the telephone [[directory]].
assistance|[U] help or support 帮助；援助|e.g. The work was completed with the [[assistance]] of local carpenters.
blur|"1) make the difference between two ideas, subjects, etc. less clear （使）（想法、主题等）难以区分，模糊"|e.g. She tends to [[blur]] the distinction between her friends and her colleagues.；e.g. The writing [[blurred]] and danced before his eyes.
blur|"2) become difficult to see, or make sth. difficult to see, because the edges are not clear （使）（某物）模糊不清"|e.g. She tends to [[blur]] the distinction between her friends and her colleagues.；e.g. The writing [[blurred]] and danced before his eyes.
distinction|"[C, U] a clear difference or separation between two similar things 差别；区别；差异"|"e.g. We need to draw a [[distinction]] between the two events, even though they are both related to financial issues."
prevalent|"common at a particular time, in a particular place, or among a particular group of people 普遍的；盛行的；流行的"|e.g. One [[prevalent]] quality we have found in teens' statements about themselves is a strikingly positive emotional tone.
linguistics|"[U] the study of language in general and of particular languages, their structure, grammar, and history 语言学"|"e.g. As a specialist in [[linguistics]], I have studied how the conversational styles of men and women differ."
acronym|[C] a word formed from the initial letters of other words 首字母缩略词|"e.g. More typically, [[acronyms]] are pronounced as new single words, as in UNESCO."
LOL|"(laughing out loud) used in emails, text messages, etc. to show that you think sth. is funny 大声笑（用于电子邮件、手机短信等中表示认为某事很好笑）"|e.g. The dog kept running around chasing its tail. [[LOL]].
longevity|1) the amount of time that sth. lasts 持续时间|"e.g. By offering services to help expand the [[longevity]] of their products, they are promising quality and durability to consumers.；e.g. The new study appears to be the first to specifically look at the relationship between optimism and [[longevity]]."
longevity|2) the amount of time that sb. / sth. lives 寿命|"e.g. By offering services to help expand the [[longevity]] of their products, they are promising quality and durability to consumers.；e.g. The new study appears to be the first to specifically look at the relationship between optimism and [[longevity]]."
eligible|having the right to do or obtain sth. 合格的；有资格的|"e.g. If you are a teenager living in certain parts of the province, you could be [[eligible]] for this program."
revisit|1) (fml.) consider or discuss sth. again 重新考虑；再次讨论|"e.g. We need to [[revisit]] this proposal as soon as the budget is clearer.；e.g. Ten years later, I [[revisited]] the school to find out what had changed."
revisit|2) (written) return to a place you once knew well 重游；再访|"e.g. We need to [[revisit]] this proposal as soon as the budget is clearer.；e.g. Ten years later, I [[revisited]] the school to find out what had changed."
usage|"1) [U] the way in which sth. is used, or the amount of it that is used 使用方法；使用量"|"e.g. It involves changing product quality, features, or style to attract new users or more [[usage]] from present users.；e.g. The dictionary focuses on the more usual words of the language and avoids rare [[usages]] of these words."
usage|"2) [C, U] the way that words are used in a language （词语的）用法"|"e.g. It involves changing product quality, features, or style to attract new users or more [[usage]] from present users.；e.g. The dictionary focuses on the more usual words of the language and avoids rare [[usages]] of these words."
mainstream|(only before noun) accepted by or involving most people in a society 主流的；主要的|e.g. Our survey is intended to find out which [[mainstream]] car has the most appeal for both private and business buyers on a budget.；e.g. Environmental ideas have been absorbed into the [[mainstream]] of our politics.
mainstream|"[sing.] (the ~) the most usual ideas or methods, or the people who have these ideas or methods （思想或方法的）主流；主流群体"|e.g. Our survey is intended to find out which [[mainstream]] car has the most appeal for both private and business buyers on a budget.；e.g. Environmental ideas have been absorbed into the [[mainstream]] of our politics.
fuzzy|1) unclear or confused 糊涂的；不明确的|e.g. There's a [[fuzzy]] line between parents' and schools' responsibilities.；e.g. Some of the photos were so [[fuzzy]] that it was hard to tell who was who.
fuzzy|2) not clear in shape or sound（形状或声音）模糊的|e.g. There's a [[fuzzy]] line between parents' and schools' responsibilities.；e.g. Some of the photos were so [[fuzzy]] that it was hard to tell who was who.
appearance|1) [sing.] when sth. new begins to exist or starts being used 首次出现（使用）；问世|e.g. The industry has changed greatly with the [[appearance]] of new technologies.；e.g. We are often attracted to somebody first by their physical [[appearance]].
appearance|"2) [C, U] the way sb. / sth. looks to other people 外表；外观"|e.g. The industry has changed greatly with the [[appearance]] of new technologies.；e.g. We are often attracted to somebody first by their physical [[appearance]].
jargon|"[U] words and expressions used in a particular profession or by a particular group of people, which are difficult for other people to understand — often used to show disapproval （难懂的）行话，术语（常含贬义）"|"e.g. I'm going to explain it without [[jargon]], and without making it unnecessarily complicated and complex."
timeless|not appearing to be affected by the process of time passing or by changes in fashion 不受时间影响的；永不过时的|"e.g. Lu Xun, an influential Chinese writer, essayist, and translator, produced that [[timeless]] classic, and many more."
impose|"1) force sb. to have the same ideas, beliefs, etc. as you 将（想法、信仰等）强加（于某人）"|e.g. I can't understand why she always tries to [[impose]] her own ideas on the rest of the team.；e.g. The court has the power to [[impose]] an unlimited fine for this offence.
impose|"2) if sb. in authority imposes a rule, punishment, tax, etc., they force people to accept it 强制推行；强制实行"|e.g. I can't understand why she always tries to [[impose]] her own ideas on the rest of the team.；e.g. The court has the power to [[impose]] an unlimited fine for this offence.
dislike|(~s) [pl.] the things that you do not like 不喜欢的东西|e.g. A good hotel manager should know his regular guests' likes and [[dislikes]].；e.g. He simply [[disliked]] working with committees and avoided it whenever possible.
dislike|think sb. / sth. is unpleasant and not like them 不喜欢；讨厌|e.g. A good hotel manager should know his regular guests' likes and [[dislikes]].；e.g. He simply [[disliked]] working with committees and avoided it whenever possible.
worrisome|(fml.) making you anxious 令人焦虑的|e.g. The scientists report that some of the signs they have found are [[worrisome]].
fascinating|extremely interesting 迷人的；非常有趣的|"e.g. With the accompaniment of the piano, the poems sounded [[fascinating]] and became really popular."
remake|"(remade, remade) make sth. again, esp. in a different way（尤指以不同的方式）重新制作"|e.g. The mall has been moving aggressively to try to [[remake]] itself for a new era of shopping.
one's fair share|"if one has had their fair share of sth., e.g. problems, success, or adventure, a lot of it has happened to them（问题，成功或冒险经历等）相当多的"|e.g. He'd had more than his fair share of adventure.
come and go|be present for a short time and then go away 断断续续；时来时去|e.g. The pain in my leg [[comes]] and [[goes]].
