freediving|[U] the sport or activity of diving without the aid of breathing equipment （不使用呼吸装备的) 自由潜水|e.g. They noticed she was very good at holding her breath and suggested she try [[freediving]].
championship|"[C] (also championships) a competition to find which player, team, etc. is the best in a particular sport 锦标赛；冠军赛"|e.g. The sixth game of the World Chess [[Championship]] will be broadcast tonight on Channel 6.
superficial|not studying or looking at sth. carefully and only seeing the most noticeable things 肤浅的；浅薄的；不深入的|e.g. Unfortunately I only had a very [[superficial]] knowledge of music.
nonetheless|(fml.) in spite of the fact that has just been mentioned 然而；但是；尽管如此；虽然如此|"e.g. The region was extremely beautiful. [[Nonetheless]], Gerard could not imagine spending the rest of his life there."
spectator|[C] sb. who is watching an event or a game （活动或体育比赛的）观看者，观众|"e.g. The final baseball game which was held last Thursday attracted a crowd of over 50,000 [[spectators]]."
diver|"[C] sb. who swims or works under water, usu. with special equipment to help them breathe （通常使用特种呼吸辅助装备的）潜水员"|"e.g. Twenty minutes later, a [[diver]] surfaced and handed a metal box to the elderly gentleman."
dangle|"hang or swing loosely, or make sth. do this （使）悬垂；（使）吊着；（使）悬荡"|"e.g. We stood in the orchard (果园), where the apples were ripe and [[dangled]] just inches above our heads."
terrify|make sb. feel extremely frightened 使恐惧；使十分害怕；使惊吓|"e.g. He had imagined that going down in the caves late at night would [[terrify]] her, but instead she felt surprisingly calm."
bare|not covered by any clothes 裸体的；裸露的|"e.g. While she was walking around her house in [[bare]] feet, her mom just didn't seem to notice."
stroke|1) one of a set of movements in swimming or rowing in which you move your arms or the oar forward and then back （游泳或划船的）一次划水|"e.g. She walked into the water and began to swim with strong [[strokes]] to the middle of the lake.；e.g. It is reported that air pollution could also restrict blood flow, causing [[strokes]] and heart attacks."
stroke|"2) a sudden serious illness when a blood vessel in the brain bursts or is blocked, which can cause death or the loss of the ability to move or to speak clearly 脑卒中；中风"|"e.g. She walked into the water and began to swim with strong [[strokes]] to the middle of the lake.；e.g. It is reported that air pollution could also restrict blood flow, causing [[strokes]] and heart attacks."
loosen|make sth. less tight or firmly fixed; become less tight or firmly fixed （使）放松；变松|e.g. He took a screwdriver (螺丝刀) from his pocket and began to [[loosen]] the screws on the bike.
skydiver|[C] sb. who jumps from a plane and falls for as long as they can before opening the parachute （延缓张伞的）特技跳伞运动员|"e.g. As a [[skydiver]] falls, he accelerates downward, gaining speed with each second."
pose|"n.[C] a particular position in which sb. stands, sits, etc., esp. in order to be painted, drawn or photographed （为画像、拍照等摆的）姿势"|e.g. Please ask the model to stay in that [[pose]] anywhere from 30 seconds to 1 minute.；e.g. Concerns about the danger [[posed]] by fireworks could lead to restrictions on their sale and use.
pose|"vt.create a threat, problem, etc. that has to be dealt with 造成（威胁、问题等）；引起；产生"|e.g. Please ask the model to stay in that [[pose]] anywhere from 30 seconds to 1 minute.；e.g. Concerns about the danger [[posed]] by fireworks could lead to restrictions on their sale and use.
vanish|disappear suddenly and / or in a way that you cannot explain （莫名奇妙地）突然消失|e.g. Three boats [[vanished]] without a trace one day and have never been found.
sonar|[U] 声呐（船上或潜艇上利用声波探测水下目标位置的仪器）|
descent|"[C, U] (fml.) the process of going down 下降；降落"|e.g. The night turned cold and heavy rain began to fall during our [[descent]] from the mountain peak.
tick|"vt.  mark a test, list of questions, etc. with a tick, in order to show that sth. is correct, to choose sth., etc. 给（试卷、问题等）打钩号"|"e.g. She is used to [[ticking]] off all of the things that she has done before the end of the day.；e.g. The clock on the wall [[ticked]] away, its sound echoing through the otherwise silent room."
tick|"vi.(also ~ away) if a clock or watch ticks, it makes a short repeated sound （钟表）发出嘀嗒声"|"e.g. She is used to [[ticking]] off all of the things that she has done before the end of the day.；e.g. The clock on the wall [[ticked]] away, its sound echoing through the otherwise silent room."
