wrestle|【v.】 fight sb. by holding them and pulling or pushing them （与某人）摔跤，扭打|"The two men wrestled with each other, and it was hard to tell who would win."
outcome|"【n.】 [C] the final result of a discussion, war, etc. — used esp. when no one knows what it will be until it actually happens （讨论、战争等无法预知的）结果、后果"|People who had heard the evidence at the trial were surprised at the outcome.
tense|" 【v.】(also 'tense up') make your muscles tight and stiff, or become tight and stiff 使（肌肉）绷紧；僵硬"|"Every time the phone rang, she tensed up, being afraid to hear the bad news."
tense|" 【a.】making you feel nervous and not relaxed, usu. because you are worried about what is going to happen 令人紧张的；令人不安的；令人着急的"|There was a tense silence as everyone waited for his reaction.
strain| 【v.】try very hard to do sth. using all your strength or ability 使劲；竭力；用尽全力|She was straining to keep her head above the water.
strain| 【vt.】injure a muscle or part of your body by using it too much or making it work too hard 拉伤；扭伤|I've strained a muscle in my leg and I have to go to hospital.
wrist|【n.】 [C] 腕（关节）|He grasped her wrist with his free hand.
grin|【vi.】 smile widely 露齿而笑；咧着嘴笑|"He walked out of the pool, grinning widely."
teen|【n. [C] 1) (~s) [pl.] the period of your life when you are between 13 and 19 years old 青少年时期（13 到 19 岁之间的阶段）|She was in her teens when she met her boyfriend who became her husband.
teen|"【n. [C] 2) (AmE, infml.) a teenager （青）少年；十几岁的孩子"|"In real life, every teen can, and should, make their own decision."
athletic|【a.】 physically strong and good at sport 强壮的；擅长运动的|"I am not a brave man, nor am I athletic."
athleticism|【n.】 [U] the ability to play sports or do physical activities well 运动能力|Except for the second game he seemed to be in control and showed some great athleticism.
gasp| 【vi.】breathe quickly in a way that can be heard because you are having difficulty breathing （由于呼吸困难而）急促吸气|"Brendan climbed slowly, gasping for breath."
gasp|" 【v.】breathe in suddenly in a way that can be heard, esp. because you are surprised or in pain （尤因惊讶或疼痛而）大声吸气，倒抽气"|The visitors gasped at the wonderful view.
recall|"【v.】 remember a particular fact, event, or situation from the past 回想，回忆起（某事物）"|Henry recalled that he first met Pollard during a business trip to Washington.
clip|"【vt.】 cut an article or picture from a newspaper, magazine, etc. （从报纸、杂志等上）剪下"|He showed me a cartoon clipped from a newspaper.
clipping|【n.】 [C] an article or picture that has been cut out of a newspaper or magazine 剪报|He searched through piles of letters and clippings for his mother's letter.
underline|"【vt.】 draw a line under a word, sentence, etc. to show that it is important 在···之下画线（以示重要）"|Please underline all the noun clauses in the reading passage.
helmet|"【n.】 [C] a strong hard hat that soldiers, motorcycle riders, the police, etc. wear to protect their heads 头盔；钢盔；安全帽"|Protective helmets must be worn on the construction site.
grapple|"【vi.】 fight or struggle with sb., holding them tightly 扭打；搏斗"|Two men didn't stop grappling with a guard at the door until the police came.
ritual|"【n.】 [C, U] 1) sth. that you do regularly and in the same way each time 惯例；老规矩；例行公事"|He lights his cigar after getting up every morning and this ritual has not changed for many years.
