whole wheat| 用全麦做的；用全麦面粉做的|e.g. The cool temperature helps keep [[whole wheat]] flour fresh for longer.
ham|"[C, U] 火腿（肉）"|
grill|cook under or over direct heat 烤；烧；焙|e.g. The meat tastes best when you [[grill]] it for 20 minutes on each side.
toast|"make (bread, cheese, etc.) brown by placing it close to heat 烤，烘（面包、奶酪等）"|e.g. [[Toast]] the bread lightly on both sides and it will be ready.；e.g. I'd like a coffee and two slices of [[toast]] with butter.
toast|[U] bread that has been heated so that it is brown on both sides and no longer soft 烤面包（片）；吐司|e.g. [[Toast]] the bread lightly on both sides and it will be ready.；e.g. I'd like a coffee and two slices of [[toast]] with butter.
historian|[C] a person who studies history and / or writes about it 历史学家；史学工作者|"e.g. His father is a famous [[historian]], specializing in the history of Germany."
resourcefulness|[U] the quality of being good at finding ways to deal with difficult situations 机智；有办法|"e.g. Because of his adventures, he is a person of far greater experience and [[resourcefulness]]."
immigration|[U] the process of entering another country to make one's life there 移居；移民入境|e.g. The government has decided to tighten the [[immigration]] policy.
globalization|"[U]  the process of making sth. such as a business operate in a lot of different countries all around the world, or the result of this 全球化"|e.g. Economic [[globalization]] has changed the nature of competition among cities in developing countries.
tuna|"[C, U] (pl. tuna or tunas) 金枪鱼（肉）"|
originate|(fml.) (~ from / in) come from a particular place or start in a particular situation 开始；发源|e.g. All theories [[originate]] from practice and in turn serve practice.
conserve|"reduce the amount of money, time, goods, etc. that you use 削减；节省"|e.g. He tried to [[conserve]] on fuel during the long winter.；e.g. We must [[conserve]] our forests and woodlands for our future generations.
conserve|"keep sth. from being wasted, damaged, lost, or destroyed 保护；保存"|e.g. He tried to [[conserve]] on fuel during the long winter.；e.g. We must [[conserve]] our forests and woodlands for our future generations.
excess|"[U, sing.] a larger amount of sth. than is allowed or needed 过分；过量"|e.g. The test revealed an [[excess]] of alcohol in the driver's blood.
leftover|(~s) [pl.] food remaining uneaten after a meal 剩饭菜|"e.g. At my grandma's, we sometimes had [[leftovers]] and it was my grandpa who ate them.；e.g. This recipe makes use of [[leftover]] chicken from the roast chicken recipe."
leftover|"(only before noun) remaining after all the rest has been used, taken, or eaten 未用完的；剩余的；未吃完的"|"e.g. At my grandma's, we sometimes had [[leftovers]] and it was my grandpa who ate them.；e.g. This recipe makes use of [[leftover]] chicken from the roast chicken recipe."
mayonnaise|[U] 蛋黄酱|
lettuce|"[C, U] 莴苣；生菜"|
convention|"1) [C, U] behavior and attitudes that most people in a society consider to be normal and right 惯例；常规；习俗"|e.g. It is a matter of [[convention]] that businessmen should wear suits.；e.g. They have chosen him to represent their city at the [[convention]].
convention|2) [C] a large formal meeting for people who belong to the same profession or organization or who have the same interests 大会；会议；集会|e.g. It is a matter of [[convention]] that businessmen should wear suits.；e.g. They have chosen him to represent their city at the [[convention]].
turnover|"1) movement (as of goods or people) into, through, and out of a place （货物、人员等的）流动，流通；吞吐"|e.g. The restaurant did a lively business and had a rapid [[turnover]].；e.g. I believe they've doubled their [[turnover]] since those advertisements appeared in the press.
turnover|"2) [U, sing.] (BrE) the amount of business done during a particular period 营业额"|e.g. The restaurant did a lively business and had a rapid [[turnover]].；e.g. I believe they've doubled their [[turnover]] since those advertisements appeared in the press.
canned|(of food) preserved in a tin （食物）罐装的|e.g. They tend to buy cheap processed foods like [[canned]] chicken.
downside|[sing.] the disadvantage or negative aspect of sth. 不利方面|e.g. There is a [[downside]] of living in the countryside: It takes a long time to commute to work.
popularity|"[U] the state of being liked, enjoyed, or supported by a large number of people 流行；受欢迎"|"e.g. We are doing a weekly poll on the president, and clearly his [[popularity]] has declined."
unintended|not deliberate 无意的；无心的|e.g. Technological advances are sometimes accompanied by [[unintended]] consequences such as pollution and global warming.
scrap|1) (~s) [pl.] food left after a meal 残羹剩饭|"e.g. The rats run around, searching for [[scraps]] in the rubbish.；e.g. He wrote his address on a [[scrap]] of paper."
scrap|"2) [C] a small piece of paper, cloth, etc. 小片；小块；碎屑"|"e.g. The rats run around, searching for [[scraps]] in the rubbish.；e.g. He wrote his address on a [[scrap]] of paper."
conscience|"[C, U] the part of your mind that tells you whether what you are doing is morally right or wrong 良心；良知"|e.g. I have battled with my [[conscience]] over whether I should actually send this letter.
environmentalism|[U] the study of the environment and the belief that it must be protected from damage by human activities 环境保护主义|e.g. The teacher asked the students to find more information on [[environmentalism]] on the Internet.
elite|"[C] a group of people who have a lot of power and influence because they have money, knowledge, or special skills （社会）精英；上层人士"|"e.g. In this country, only the [[elite]] can afford an education for their children."
chafing dish|"[C] a metal pan over a heater, used to cook or to keep things warm at the table （有加热装置的）火锅，暖锅"|e.g. Last Friday I got back to town and had [[chafing dishes]] with my family members.
triangle|[C] 三角形；三角形物体|
toothpick|[C] 牙签|
combination|1) [U] the act of combining or state of being combined 联合；组合|"e.g. After running through the numbers in every possible [[combination]], we finally hit on a solution.；e.g. The best approach may well be to use a [[combination]] of both methods."
combination|2) [C] two or more things joined or mixed together to form a single unit 结合体；联合体；混合体|"e.g. After running through the numbers in every possible [[combination]], we finally hit on a solution.；e.g. The best approach may well be to use a [[combination]] of both methods."
elegance|[U] the quality of being attractive and showing a good sense of style 高雅|e.g. In the dining room the decoration creates an atmosphere of [[elegance]].
permanent|lasting or intended to last for a long time or forever 长久的；永久的|e.g. Heavy drinking can cause [[permanent]] damage to the brain.
cuisine|1) food cooked in a certain way 菜肴；饭菜|"e.g. The dining room has lakeside views and offers excellent [[cuisine]].；e.g. Chinese [[cuisine]] is an art, which grew out of a highly developed civilization."
cuisine|2) a particular style of cooking 烹饪（法）|"e.g. The dining room has lakeside views and offers excellent [[cuisine]].；e.g. Chinese [[cuisine]] is an art, which grew out of a highly developed civilization."
conservative|not liking changes or new ideas 保守的；守旧的|e.g. The young people are the most eager to learn and the least [[conservative]] in their thinking.
conservatism|[U] dislike of changes or new ideas 保守；守旧主义|e.g. Jones himself was a curious mixture of radicalism (激进主义) and [[conservatism]].
loyalty|"[U] the quality of remaining faithful to your friends, principles, country, etc. 忠诚；忠贞；忠实"|e.g. I was deeply impressed by his [[loyalty]] to his brother.
dainty|"small, pretty, and delicate 小巧的；精致的"|e.g. We visited her uncle's place and were given tea and some [[dainty]] little cakes.
chow mein|[U] 炒面|
doctorate|[C] a university degree of the highest level 博士学位|e.g. He received his [[doctorate]] in political science at Columbia University.
mystery|[C] sth. which cannot be explained or understood 神秘的事；不可思议的事|e.g. It's a [[mystery]] to me how she ever passed that exam.
specifically|for the stated kind and no other; particularly 专门地；特定地；具体地|e.g. I asked her to repeat [[specifically]] the words that Patti had used.
bun|1)  小圆面包|
bun|2) (BrE) 小圆糕点|
gravy|[U]（调味用的）肉汁|
classic|1) of a very typical and well-known kind 典型的|e.g. Too many job hunters make the [[classic]] mistake of thinking only about what's in it for them.；e.g. Huckleberry Finn is a [[classic]] children's movie.
classic|2) of the highest quality or class and esp. serving as a model 一流的；经典的|e.g. Too many job hunters make the [[classic]] mistake of thinking only about what's in it for them.；e.g. Huckleberry Finn is a [[classic]] children's movie.
filling|(of food) making one's stomach feel full （食物）耐饥的，果腹的|"e.g. Although it is tasty, crab is not very [[filling]]."
munch|"eat sth. steadily and often noisily, esp. sth. hard and / or dry 大声嚼，用力嚼（尤其硬或干的食物）"|e.g. The horse was [[munching]] away at my hat.
canteen|[C] (esp. BrE) （工厂、学校等的）食堂，餐厅|
dime|[C] （美国和加拿大的）十分硬币|
expat|[C] (infml.) a person living in a foreign country 居住在国外的人；侨民|"e.g. I had the vague idea that I could now vote electronically, but in fact no [[expat]] can do so."
reach out to|ask sb. for help 请求···的帮助|e.g. She urged him to [[reach out to]] his family.
of one's choosing / choice|that you choose by yourself 自己选择（或选定）的|e.g. Meals on a tour like ours could be eaten in any restaurant of one's [[choosing]].
fill (sb.) up|(make you) eat enough food so that you no longer feel hungry 使吃饱|e.g. They [[filled]] me up with cakes and sandwiches.
from scratch|"if you start sth. from scratch, you begin it without using anything that existed or was prepared before 从头做起；从零开始"|"e.g. It's completely ruined, so we'll have to start from scratch."
come up with|"think of an idea, answer, etc. 想出，提出（主意、答案等）"|e.g. The airline has [[come up with]] a novel solution to the problem of jet lag.
to go|(AmE) (of cooked food sold in a shop) be taken away and not eaten in the shop （食物）带出餐馆吃的，外卖的|"e.g. ""Two chicken dinners with corn [[to go]], please,"" he said in a hurry."
call for sth.|need sth. 需要|e.g. This kind of work [[calls for]] a lot of patience.
to this day|up to and including the present moment 至今|e.g. Even [[to this day]] we don't know what happened for sure.
thanks to|because of 由于；因为|"e.g. The company has had a successful year, thanks to the improvement in export sales."
confession|"[C, U] the act of admitting one’s crimes, faults, etc. 承认；坦白"|e.g. I have a [[confession]] to make — I scraped (擦坏) your car when I was parking mine.
devote|"use all or most of your time, effort, etc. in order to do sth. or help sb. 致力；献身；倾注"|"e.g. After graduating from law school, he [[devoted]] his energies to writing film scripts."
devoted|showing great fondness or loyalty; caring a great deal 忠实的；热爱···的|e.g. There is absolutely no doubt that this woman was a totally [[devoted]] and caring mother.
insatiable|impossible to satisfy 无法满足的|e.g. The public has an [[insatiable]] appetite for stories about famous people.
craving|[C] a very strong desire for sth. 渴望；热望|"e.g. Surprisingly, his headache and fatigue subsided (减轻) and his [[craving]] for alcohol disappeared."
tropical|"coming from, found in, or typical of the tropics 来自热带的；产于热带的；热带的"|"e.g. Under normal conditions, the ocean currents of the [[tropical]] Pacific travel from east to west."
challenging|difficult in an interesting or enjoyable way 富有挑战性的|e.g. Mike found a [[challenging]] job as a computer programmer.
calculus|[U] 微积分|
adjust|gradually become familiar with a new situation （使）适应；（使）习惯|e.g. I felt I had [[adjusted]] to the idea of being a mother very well.
dorm|"1)  （大学里的）学生宿舍楼"|
dorm|"2) (esp. BrE, infml.) 大寝室；宿舍"|
zucchini|[C] (pl. zucchini or zucchinis)  （绿皮）密生西葫芦|
cucumber|"[C, U] 黄瓜"|
disposal|1) the power or opportunity to use sb. / sth. 处置权|"e.g. During their visit, I left my car at their [[disposal]].；e.g. We should not give up this option for the [[disposal]] of nuclear waste."
disposal|2) the act or means of getting rid of sth. 清理；处理|"e.g. During their visit, I left my car at their [[disposal]].；e.g. We should not give up this option for the [[disposal]] of nuclear waste."
peruse|1) examine or consider with attention and in detail 仔细研究；仔细考虑|e.g. Officials of the union are [[perusing]] the deal.；e.g. She found the information while she was [[perusing]] a copy of Life magazine.
peruse|"2) (fml.) read sth, esp. in a careful way 读；（尤指）细读，精读"|e.g. Officials of the union are [[perusing]] the deal.；e.g. She found the information while she was [[perusing]] a copy of Life magazine.
grimly|1) in a worried or unhappy way 担忧地；不快地|"e.g. ""We have to get those windows open,"" I announced [[grimly]] to my husband.；e.g. ""Now, I can wait for you,"" he said [[grimly]], ""but hurry up."""
grimly|2) seriously 严肃地|"e.g. ""We have to get those windows open,"" I announced [[grimly]] to my husband.；e.g. ""Now, I can wait for you,"" he said [[grimly]], ""but hurry up."""
mealy|(fruit or vegetables) dry and not tasting good （水果或蔬菜）干巴难吃的|e.g. The apples we bought yesterday are kind of [[mealy]].
pinkish|of a light shade of red 浅粉红色的|"e.g. Her nostrils (鼻孔) were [[pinkish]], as though she had a cold."
iceberg lettuce|"[C, U] 卷心莴苣"|
wrap|(also ~ up) put paper or cloth over sth. to cover it （用纸或布）包，裹（某物）|e.g. He [[wrapped]] a bandage around my injured wrist.
wrapper|[C] the piece of paper or plastic that covers sth. when it is sold （商品的）包装纸（塑料）|e.g. The kids were asked to put the sweet [[wrappers]] into the rubbish bin.
peel|"[C, U] the skin of some fruit and vegetables, esp. the thick skin of fruit such as oranges, which you do not eat （水果和蔬菜的）外皮（尤指橙子等不能食用的厚皮）"|"e.g. Usually, we speak of orange [[peel]] and apple [[peel]], but of tomato skin.；e.g. She sat down in the kitchen and began to [[peel]] potatoes."
peel|remove the skin from fruit or vegetables 剥去（削去）（水果或蔬菜）的皮|"e.g. Usually, we speak of orange [[peel]] and apple [[peel]], but of tomato skin.；e.g. She sat down in the kitchen and began to [[peel]] potatoes."
unworldly|1) not having a lot of experience of life 不谙世故的；天真的|e.g. I cannot believe you have such [[unworldly]] views on things as a grown man.；e.g. The singer seems somewhat [[unworldly]] because he hates commercial advertising and social activities.
unworldly|2) not interested in money or possessions 对钱财不感兴趣；脱俗的|e.g. I cannot believe you have such [[unworldly]] views on things as a grown man.；e.g. The singer seems somewhat [[unworldly]] because he hates commercial advertising and social activities.
cultured|"having or showing good education, manners, and an interest in art, music, literature, etc. 有文化的；有教养的；有修养的"|"e.g. The people who will be on the committee are moral, [[cultured]], and competent."
realization|"[U, sing.]  the process of becoming aware of sth. 认识；意识；领悟"|e.g. There is now a growing [[realization]] that things cannot go on like this for much longer.
grant|1) (take sb.  sth. that you do not recognize their true value any more and do not show that you are grateful （因习以为常）视···为理所当然（而对其不重视）|"e.g. I came into adult life clueless about a lot of things that most people take for [[granted]].；e.g. In response to the lawyer's appeals, the Home Secretary [[granted]] a free pardon (赦免)."
grant|2) (fml.) give sb. sth. or allow them to have sth. that they have asked for 给予；准予|"e.g. I came into adult life clueless about a lot of things that most people take for [[granted]].；e.g. In response to the lawyer's appeals, the Home Secretary [[granted]] a free pardon (赦免)."
motivation|1) [C] the reason why you want to do sth. 动机；原因|"e.g. What was your [[motivation]] for becoming a doctor?；e.g. Jack is an intelligent pupil, but he lacks [[motivation]]."
motivation|2) [U] eagerness and willingness to do sth. without needing to be told or forced to do it 动力；积极性|"e.g. What was your [[motivation]] for becoming a doctor?；e.g. Jack is an intelligent pupil, but he lacks [[motivation]]."
priority|"[C] sth. that needs attention, consideration, service, etc. before others 优先处理的事；当务之急"|"e.g. After several burglaries (入室盗窃) in the area, security is now a high [[priority]]."
golden|of the color of gold 金色的|e.g. He was so attracted by the girl with [[golden]] hair that he did not hear anything his father said.
yolk|"[C, U] 蛋黄"|
crunch|[sing.] the sound of sth. being crushed or like sth. being crushed or broken 嘎吱的响声|e.g. I heard a loud [[crunch]] as the truck ran into the wall.
organic|"relating to farming or gardening methods of growing food without using artificial chemicals, or produced or grown by these methods 不使用化肥的；有机的；绿色的"|e.g. Now [[organic]] farming is expanding everywhere in China.
