roam|"walk or travel, usu. for a long time, with no clear purpose or direction 闲逛；漫步；漫步于"|e.g. Tigers once [[roamed]] far and wide across much of Southeast Asia.
passionate|"having or showing strong feelings of love or of anger, etc. 感情强烈的；热情的"|e.g. Sarah was greeted with a [[passionate]] embrace by her husband and children at Heathrow Airport on returning to London.
dockside|[sing.] the edge of the land that is next to the water in a port 码头边；坞边|e.g. The [[dockside]] was the busiest place he had ever seen.
reunion|"1) [C, U] the act of people coming together after they have been apart for some time 团圆；重逢"|"e.g. It was a very emotional [[reunion]], for the children weren't allowed to see her for nearly a week.；e.g. We all look forward to our class [[reunion]], an awesome celebration with old friends!"
reunion|2) [C] a social occasion or party attended by a group of people who have not seen each other for a long time 聚会|"e.g. It was a very emotional [[reunion]], for the children weren't allowed to see her for nearly a week.；e.g. We all look forward to our class [[reunion]], an awesome celebration with old friends!"
stern|"serious and strict, and showing strong disapproval of sb.'s behavior 严厉的；严格的；苛刻的"|e.g. The manager gave a [[stern]] warning to those who were on strike.
fretful|1) marked by worry and distress; troublesome 令人烦恼的|e.g. Mr. Royama and others are likely to find the coming week a very [[fretful]] one indeed.；e.g. The boy appeared [[fretful]] and disappointed that he couldn't join the others on their trip.
fretful|"2) anxious and complaining, and unable to relax 烦恼的；发牢骚的"|e.g. Mr. Royama and others are likely to find the coming week a very [[fretful]] one indeed.；e.g. The boy appeared [[fretful]] and disappointed that he couldn't join the others on their trip.
refugee|"[C] sb. who has been forced to leave their country, esp. during a war, or for political or religious reasons 难民；避难者"|e.g. The [[refugees]] were packed shoulder to shoulder on the boat.
overloaded|having or supplied with too much of sth. 超载的；超负荷的|e.g. Even a simple turn becomes risky when the truck is [[overloaded]].
lifeboat|1) a small boat carried by ships in order to save people if the ship sinks （船上备用的）救生艇|e.g. The captain ordered all passengers into [[lifeboats]].；e.g. Sam's dog was saved by a [[lifeboat]] during the incident on Tuesday afternoon.
lifeboat|2) a boat that is sent out to help people who are in danger at sea （海上）救生艇（船）|e.g. The captain ordered all passengers into [[lifeboats]].；e.g. Sam's dog was saved by a [[lifeboat]] during the incident on Tuesday afternoon.
singular|1) single; unique 单个的；独一无二的|"e.g. She always thought of herself as [[singular]], as her father's only daughter.；e.g. Can you tell me the [[singular]] form of this noun?"
singular|2) of or relating to the form of a word used when referring to one person or thing （词形）单数的|"e.g. She always thought of herself as [[singular]], as her father's only daughter.；e.g. Can you tell me the [[singular]] form of this noun?"
double-decker|[C] 双层公共汽车|
