generalization|[C]  a statement about all the members of a group that may be true in some or many situations but is not true in every case （片面的）概括，泛论|e.g. You can't make [[generalizations]] about what men and women are like.|
myth|"[C, U] an idea or story that many people believe, but which is not true （许多人相信的）错误观念，荒诞说法"|"e.g. Contrary to the popular [[myth]], women are not worse drivers than men."|
spouse|[C] (fml.) a husband or wife 配偶|e.g. Please notice that [[spouses]] are welcome to the company picnic.|
spousal|(fml.) (only before noun) connected with a husband or wife; of or from a husband or wife 配偶的|e.g. Here are the 10 things you should never say in a [[spousal]] argument.|
frustrated|feeling annoyed and impatient because you cannot do or achieve what you want 懊丧的；懊恼的；沮丧的|e.g. Stacy got so [[frustrated]] that she stood up and walked out of the room.|
validity|[U] the state of being logical and true 符合逻辑；正当；正确|e.g. We had serious doubts about the [[validity]] of their argument.|
stem|(~ from) develop as a result of sth. else 源于；来自；由···引起|e.g. He told the magazine in an exclusive interview that all his misfortune [[stemmed]] from a lack of tolerance toward others.|
stem|[C]（植物的）茎，梗，柄|e.g. He told the magazine in an exclusive interview that all his misfortune [[stemmed]] from a lack of tolerance toward others.|
forage|go around searching for food or other supplies （为找到食物、补给等）四处搜寻|"e.g. When it's cold and snowy outside, birds may [[forage]] for food in your backyard."|
millennium|"[C] (pl. millennia ) a period of 1,000 years 一千年；千年期"|e.g. The year 2000 was celebrated as the beginning of the third [[millennium]].|
instinctive|"based on instinct, not thought or training 本能的；直觉的；天性的"|e.g. Animals provide the best examples of [[instinctive]] behavior.|
mode|"[C] (fml.) a particular way or style of behaving, living, or doing sth. 方式；方法；做法"|e.g. Many children recognize that cycling and walking are environmentally-friendly [[modes]] of transportation.|
nutrition|[U] the process of giving or getting the right type of food for good health and growth 营养（作用）；滋养|e.g. It is widely known that [[nutrition]] and exercise are essential to fitness and health.|
nutritious|(of food) containing many of the substances which help the body to grow （食物）有营养的，营养丰富的|e.g. The cookbook contains many simple yet highly [[nutritious]] meals.|
edible|fit or suitable to be eaten; not poisonous 适宜食用的；（无毒而）可以吃的|e.g. There are many [[edible]] fruits growing wild in the coastal forest.|
discard|get rid of sth. 扔掉；弃置|e.g. Would you help me remove the seeds from the melon and [[discard]] them?|
laden|heavily loaded with sth. 载满的；装满的|e.g. He was surprised to find that the tables were [[laden]] with food.|
heritage|"[U, sing.] the traditional beliefs, values, customs, etc. of a family, country, or society （文化）遗产；传统"|e.g. These works of art are of great importance to Russia's national [[heritage]].|
prehistoric|relating to the time in history before anything was written down 史前的；有历史记载以前的|e.g. We do not have to go back to [[prehistoric]] times to witness the change in our diet.|
acquisition|"1) [C] sth. that you buy or obtain, often to add to things that you already have 购置物；获得物"|e.g. The Art Society is holding an exhibition of recent [[acquisitions]].；e.g. We need to recognize that second language [[acquisition]] is a gradual developmental process.|
acquisition|2) [U] the process by which you gain knowledge or learn a skill （知识、技能的）获得，习得|e.g. The Art Society is holding an exhibition of recent [[acquisitions]].；e.g. We need to recognize that second language [[acquisition]] is a gradual developmental process.|
humid|(of the air or climate) warm and damp （空气或气候）温暖潮湿的，湿热的|"e.g. It was a hot, [[humid]] day, and the only sound was the buzzing of insects."|
trait|[C] (fml.) a particular quality in sb.'s character （某人性格中的）特性，品质|e.g. It's a human [[trait]] to joke about subjects that make us uncomfortable.|
tendency|[C] an inclination toward a particular characteristic or type of behavior 趋势；趋向；倾向|"e.g. For students, there is a [[tendency]] to socialize in the evenings."|
anthropologist|[C] a person who studies anthropology 人类学家|"e.g. [[Anthropologists]] study the origin, development, and functioning of human societies and cultures."|
similarity|"[C, U] the state of being almost the same, or a particular way in which sth. is almost the same 相似性；类似性；相似处；相似点"|e.g. The police are checking for [[similarities]] with other recent attacks in the area.|
ancestor|[C] a member of your family who lived a long time ago 祖先；祖宗|"e.g. Although I'm British myself, my [[ancestors]] were actually French."|
ancestral|"of, relating to, or inherited from an ancestor 祖先的"|"e.g. The house is the [[ancestral]] home of Baron Stourton, but after the family moved out in the 1960s it fell into disrepair."|
inclined|(be ~ to do sth.; be ~ to sth.) be likely to do sth. or behave in a particular way 有做某事的意向；倾向于做某事|e.g. They'll be more [[inclined]] to listen carefully if you don't shout.|
extended|(only before noun) long or longer than usual or expected 较长时间的；延期的|"e.g. If you are going abroad for an [[extended]] period of time, you should consider renting your house out."|
empirical|(only before noun) based on experiments or experience rather than ideas or theories 以实验（经验）为依据的；经验主义的|e.g. There is strong [[empirical]] evidence to suggest that these concerns are not trivial.|
justification|"[C, U] a good reason why sth. exists or is done 正当理由"|e.g. I can see no possible [[justification]] for your being late.|
