foolish|"【a.】 unwise, without good sense 愚蠢的；笨的"|It would be foolish to spend money on something you can't afford.
intersection|"【n.】 [C] a place where roads, lines, etc. cross each other, esp. where two roads meet（尤指两条道路的）交叉点，十字路口；（线的）交叉点"|Traffic lights have been placed at all major intersections.
encounter|【vt.】 1) (fml.) meet sb. without planning to 偶然碰到（某人）|I first encountered him when I was studying at Cambridge.
encounter|"【vt.】 2) experience sth., esp. problems or opposition 遇到，遭遇（尤指问题或反对）"|"The more dangers we encounter, the harder should we push forward."
peer|" 【vi.】look very carefully or hard at sth., esp. because you are having difficulty seeing it（尤指因看起来费劲而）凝视，盯着看"|I had been peering at a computer printout that made no sense at all.
peer|" 【n.】[C, usu. pl.] (fml.) sb. of the same age, social class, etc. 同龄人；身份（或地位）相同的人"|Children compete to win the approval of their peers.
upward|【ad.】 (esp. AmE) moving or pointing toward a higher position 向上；朝上|"Pointing upward, he indicated a large nest high in the tree."
cloakroom|【n.】 [C] a small room where you can leave your coat 衣帽间；衣帽寄存处|
herd|【n.】 [C] a group of animals of one kind that live and feed together 兽群；牧群|"The milkman selected the spotted cows, from among a herd of 200."
instinct|"【n.】 [C, U] a natural tendency to behave in a particular way or a natural ability to know sth., which is not learned 本能；直觉；天性"|"Hearing the loud noise, Mary's first instinct was to hide under the blankets."
herd instinct| [sing.] the natural tendency in people or animals to behave or think like other people or animals 群体本能（人或动物在行为或思维上从众的自然趋势）|
dictate| 【vt.】control or influence sth. 支配；影响；决定|Circumstances dictated that they played a defensive rather than attacking game.
dictate| 【v.】say words for sb. else to write down 口授；让（某人）听写|She's dictating a letter to her secretary right now.
evil|【n.】 [U] a force that causes bad things to happen 罪恶；邪恶|There's always a conflict between good and evil in his plays.
stock|【n.】 1) [C] (esp. AmE) a share in a company 股份；股票|
stock|"【n.】 2) [C, U] a supply of a particular type of thing that a shop has available to sell 存货；现货"|We have a huge stock of quality carpets on sale.
stock market|"n.】 [C, usu, sing.] the business of buying and selling shares in companies and the place where this happens 证券交易（所）；股票交易（所）；股市"|
panic|"【n.[C, usu. sing.] 1) a situation in which people are suddenly made very anxious, and make quick decisions without thinking carefully 人心惶惶的局面；惶恐不安"|The magazine article is about the recent panic over the safety of baby milk.
panic|"【n.[C, usu. sing.] 2) an overwhelming feeling of fear and anxiety 恐慌；惊恐"|The audience were thrown into a panic when the fire started.
religion|"【n.】 [U] the belief in the existence of a god or gods, and the activities that are connected with the worship of them 宗教；宗教信仰"|"Try to avoid as much as possible subjects such as religion, sex, or politics."
paralyze|【vt.】 1) make sth. unable to operate normally 使无法正常运转|The regional capital was paralyzed by a general strike.
paralyze|"【vt.】 2) make sb. lose the ability to move part or all of their body, or to feel it 使瘫痪；使麻痹"|Her legs were partly paralyzed in the crash.
legendary|【a.】 very famous and admired 非常有名的；大名鼎鼎的；传奇式的|He is legendary for his fearlessness and determination.
psychologist|【n.】 [C] a scientist trained in psychology 心理学家|Psychologist Martin Lloyd-Elliott is also a best-selling author.
warp| 【vt.】influence sb. so that they begin to behave in an unacceptable or shocking way 使（行为等）不合情理|I never had any toys since my father thought that they would warp my personal values.
