insightful|"able to understand, or showing that you understand, what a situation or person is really like 领悟力强的；富有洞察力的"|e.g. We are always looking for more interesting and [[insightful]] ideas to share with our readers.
equilibrium|"[U, sing.] a balance between different people, groups, or forces that compete with each other, so that none is stronger than the others and the situation is not likely to change suddenly 平衡；均衡；均势"|e.g. The point at which the solid and the liquid are in [[equilibrium]] is called the freezing point.
purely|completely and only 完全地；纯粹地；仅仅|e.g. The management committee decided to close the museum [[purely]] because it cost too much to run.
dilemma|"[C] a situation in which it is very difficult to decide what to do, because all the choices seem equally good or equally bad 进退两难的境地；困境"|e.g. The [[dilemma]] over human cloning lies at the heart of the ethical choices facing society.
memorable|"very good, enjoyable, or unusual, and worth remembering 难忘的；值得纪念的"|"e.g. If you want to catch and save this [[memorable]] event in your life, bring your camera with you."
classical|widely accepted and used for a long time; traditional in style or idea 经典的；古典的；传统的|e.g. Adam Smith is considered one of the founders of [[classical]] economics.
collective|(only before noun) shared or made by every member of a group or society 集体的；共同的；共有的|e.g. I think it's our [[collective]] responsibility to create an environment for future generations to be even more successful.
welfare|[U] health and happiness 幸福；健康；福祉|e.g. Biological scientists have to consider the balance between human health and animal [[welfare]] as they push forward the frontiers of research.
allegory|"[C, U] a story, painting, etc. in which the events and characters represent ideas or teach a moral lesson 寓言；讽刺"|e.g. The book is a kind of [[allegory]] of Latin American history.
invisible|impossible to see 看不见的；不可见的|e.g. This sophisticated technology allows scientists to find things that are [[invisible]] to the naked eye.
disastrous|"very bad, or ending in failure 灾难性的；以失败告终的"|"e.g. In some cases, lowering interest rates could have [[disastrous]] consequences for the economy."
burglar|"[C] sb. who goes into houses, shops, etc. to steal things 入室窃贼"|e.g. A number of [[burglars]] broke into the gallery and stole dozens of priceless paintings.
accuse|say that you believe sb. is guilty of a crime or of doing sth. bad 控告；指控；指责|e.g. No one could ever [[accuse]] this government of not caring about the poor.
robbery|"[C, U] the crime of stealing money or things from a bank, shop, etc., esp. using violence 抢劫"|e.g. The gang (犯罪团伙) admitted they had committed four recent bank [[robberies]].
confess|"admit, esp. to the police, that you have done sth. wrong or illegal （尤指向警方）坦白，招认，招供"|"e.g. Gabriele [[confessed]] to leaking copies of the documents to the press because he wanted to expose the ""evil and corruption"" in the company."
optimal|(fml.) the best or most suitable 最佳的；最适宜的|e.g. They insist their business idea is [[optimal]] and will be wildly acceptable to customers.
better off|"being in a better situation, if or after sth. happens 更好的"|e.g. You'd be [[better]] off living on your own than quarreling all the time with your dad.
equivalent|"[C] sth. that has the same value, purpose, job, etc. as sth. else 同等物；等价物；对应物"|"e.g. Is there a French word that is the exact [[equivalent]] of the English word ""home""?"
comparative|measured or judged by how similar or different it is to sth. else; relative 比较而言的；相对的|"e.g. After living in poverty for most of his lifetime, he spent his last few years in [[comparative]] comfort."
emit|"send out gas, heat, light, sound, etc. 散发，发出（气、热、光、声音等）"|e.g. The machine will [[emit]] a noisy sound when you press the red button.
inaction|[U] the fact that sb. is not doing anything （人）无行动，没反应|e.g. The city council was accused of [[inaction]] on the parking problem of the city.
CV|"[C] (curriculum vitae) a short written document that lists your education and previous jobs, which you send to employers when you are looking for a job 简历；履历"|e.g. Applicants interested in applying for the position should submit their [[CVs]] no later than February 15.
entail|involve sth. as a necessary part or result 使必要；需要|e.g. The job of a dance teacher [[entails]] teaching students the technique and performance of dance movements.
inefficiency|"[C, U] the fact of not using time, money, energy, etc. in the best way 低效率"|e.g. The conflict between management and workers makes for [[inefficiency]] in the workplace.
intervene|"become involved in an argument, fight, or other difficult situation in order to change what happens 干预；介入；插手"|e.g. I don't usually like to [[intervene]] in disputes between husbands and wives.
intervention|"[C, U] the act of becoming involved in an argument, fight, or other difficult situation in order to change what happens 干涉；干预；介入"|e.g. Repeated [[interventions]] on the currency markets have failed to prevent the value of the currency falling.
binding|that must be obeyed because it is accepted in law 有法律约束力的；必须遵守的|e.g. Participants in the world trade talks have agreed to negotiate specific [[binding]] commitments.
incentive|"[C, U] sth. that encourages you to work harder, start a new activity, etc. 刺激；动力；鼓励"|e.g. There is little [[incentive]] for people to leave their cars at home when public transport remains so expensive.
take sth. as a given|"accept that sth. is true or exists, esp. when you are developing an idea or argument 认为某事理所当然如此；认为某事是想当然（尤用于得出观点）"|e.g. The fact that people find change difficult is taken as a given.
come in|"be involved in a plan, deal, etc. 卷入；参与"|e.g. We need some financial advice — that's where Kate [[comes]] in.
entrepreneurship|"[U] the state of being an entrepreneur, or the activities or spirit associated with being an entrepreneur 企业家身份；企业家行为或精神"|e.g. Individuals not only need to examine their personal finances but also the considerable lifestyle changes [[entrepreneurship]] can bring.
venture|[C] a new business activity that involves taking risks 风险项目；风险投资；冒险事业|e.g. Another idea that has attracted [[venture]] capitalists' interest is online learning.
outlook|[C] general attitude to life and the world （对生活和世界的）看法，观点，态度|e.g. You will become more mature as your [[outlook]] on life is influenced by the books that you read.
curiosity|"[U, sing.] the desire to know about sth. 好奇心"|"e.g. In my view, intellectual [[curiosity]] is a sufficient reason for this new scientific endeavor."
cultivate|"1) work hard to develop a particular skill, attitude, or quality 培养，养成（技能、态度或素质）"|"e.g. [[Cultivating]] a positive mental attitude toward yourself can reap tremendous benefits.；e.g. Near the coast, huge areas of land are given over to [[cultivating]] tomatoes."
cultivate|2) prepare and use land for growing crops and plants 耕；耕作|"e.g. [[Cultivating]] a positive mental attitude toward yourself can reap tremendous benefits.；e.g. Near the coast, huge areas of land are given over to [[cultivating]] tomatoes."
holistic|"considering a person or thing as a whole, rather than as separate parts 整体（论）的；全面的"|"e.g. Policymakers need to take a long-term, [[holistic]] approach to the housing finance reform."
effectiveness|[U] the quality of being successful and working in the way that was intended 有效性|e.g. There are doubts about the [[effectiveness]] of the new drug in treating the disease.
solely|not involving anything or anyone else 唯一地；仅仅；独一无二地|e.g. Too often we make buying decisions based [[solely]] upon what we see in advertisements.
profitability|"[U] when a business or an activity makes a profit, or the amount of profit it makes 获利；盈利；利润"|"e.g. Competition between firms will continue to force those prices down, which will undermine the [[profitability]] of the industry."
capitalistic|supporting or based on the principles of capitalism 资本主义的|"e.g. In a [[capitalistic]] society, individuals with wealth and privilege have much of the power."
pioneering|(only before noun) introducing new and better methods or ideas for the first time 开创性的；先驱的；探索性的|e.g. Cowley's [[pioneering]] development of modern emergency medicine helped save countless lives.
optimize| improve the way that sth. is done or used so that it is as effective as possible 使最优化；使尽可能完善；使尽量有效|"e.g. Doctors are concentrating on understanding the disease better, and on [[optimizing]] the treatment."
enterprise|"[C] a company, organization, or business 公司；组织；企业"|"e.g. To a great many individuals setting up a new business [[enterprise]], the last thing they usually bother about is accounting and tax."
gratifying|pleasing and satisfying 令人高兴的；令人满意的|e.g. It must be very [[gratifying]] to see all your children grown-up and happy.
sustainability|[U] the quality of being able to continue for a long time 可持续性|"e.g. ""Do you want environmental [[sustainability]] or do you want economic advantage?"" asked McConnell."
propel|"move, drive, or push sth. forward 推动；推进；驱动"|e.g. The rocket is attached to the spacecraft and is designed to [[propel]] it toward Mars.
revolutionary|"completely new and different, esp. in a way that leads to great improvements 革命性的；突破性的；创新的"|e.g. The 20th century brought about [[revolutionary]] changes in our lifestyles.
significance|"[U, sing.] the importance of an event, action, etc., esp. because of the effect or influence it will have in the future 重要性，意义（尤指对将来的影响）"|e.g. The discovery of the new drug is of great [[significance]] for people suffering from heart problems.
marketplace|[C] (the ~) the part of business activity that is concerned with buying and selling goods in competition with other companies 市场（指涉及营销的种种活动）|e.g. Some retailers worry that new regulations will hurt their ability to compete in the [[marketplace]].
imprint|1) a strong permanent influence on sb. / sth. 强大而持久的影响|e.g. Gandhi was a tremendously brave man whose unique form of courage left a lasting [[imprint]] on India's history.；e.g. She could clearly see the [[imprint]] of her fingers on his pale wrist.
imprint|2) the mark left by an object being pressed into or onto sth. 印记；压痕|e.g. Gandhi was a tremendously brave man whose unique form of courage left a lasting [[imprint]] on India's history.；e.g. She could clearly see the [[imprint]] of her fingers on his pale wrist.
compassionate|feeling sympathy for people who are suffering 充满同情心的；怜悯的|e.g. The public's response to the crisis was generous and [[compassionate]].
legacy|[C] sth. that sb. has achieved that continues to exist after they stop working or die （某人不再工作或去世后）留下的成果|e.g. Perhaps her most important [[legacy]] was her program of educational reform.
prudence|[U] a sensible and careful attitude that makes you avoid unnecessary risks 明智谨慎；慎重；审慎|e.g. Businessmen are showing remarkable [[prudence]] in investing in the region.
ultimately|"finally, after everything else has been done or considered 最后；最终"|e.g. Everything will [[ultimately]] depend on what is said at the meeting with the directors next week.
imply|"if a fact, event, etc. implies sth., it shows that it is likely to be true 意味着（某事可能是真的）"|e.g. These findings do not [[imply]] that urbanization makes little or no difference to the small towns.
socioeconomic|involving a combination of social and economic factors 社会经济的|"e.g. The age, education, and [[socioeconomic]] status of these young mothers led to less satisfactory childcare."
comprehend|understand sth. that is complicated or difficult 理解，领悟（复杂或困难的事物）|"e.g. In an effort to [[comprehend]] the principles of investment of any sort, you have to know the way to determine the return on investment."
immense|extremely large 巨大的；极大的|e.g. Regular visits from a social worker can be of [[immense]] value to elderly people living alone.
possess|1) (fml.) have a particular quality or ability 拥有，具有（某品质或能力）|"e.g. I'm afraid he doesn't [[possess]] a sense of humor.；e.g. Because of his gambling, he lost everything he [[possessed]]."
possess|2) (fml.) have or own sth. 拥有，持有（某物）|"e.g. I'm afraid he doesn't [[possess]] a sense of humor.；e.g. Because of his gambling, he lost everything he [[possessed]]."
implore|(fml.) ask for sth. in an emotional way 恳求；乞求；哀求|"e.g. If you feel depressed for more than three weeks, I [[implore]] you to seek professional help."
revolutionize| completely change the way people do sth. or think about sth. 使彻底变革；给···带来革命|e.g. The company [[revolutionized]] the market for watches with its inexpensive watches aimed at the youth market.
latter|(the ~) (fml.) the second of two people or things just mentioned （刚提及的两个人或物中的）后者|"e.g. Where unemployment and crime are high, it can be assumed that the [[latter]] is due to the former."
flourishing|developing well and being successful 繁荣的；兴旺的；成功的|"e.g. A stable and [[flourishing]] economy is essential for political stability and national security, and vice versa."
rigid|unwilling to change ideas or behavior 顽固的；僵化的|e.g. We were disappointed that they insisted on such a [[rigid]] interpretation of the rules.
painstaking|(usu. before noun) very careful and thorough 小心的；费尽心思的；精心的|e.g. It is the kind of [[painstaking]] work that only someone who knows every inch of the ship could perform.
mediocrity|"[C, U] quality, ability, or achievement that is average or below average 普通；平庸；平常"|e.g. We will not accept [[mediocrity]]; the job they do is of critical importance.
alien|1) (~ to sb. / sth.) strange and frightening; different from what you are used to 陌生的；不熟悉的|"e.g. In a world that had suddenly become [[alien]] and dangerous, Michael was her only security.；e.g. In short, he concluded that the canals were artificial constructs of technologically advanced [[alien]] beings."
alien|2) connected with creatures from another world 外星的|"e.g. In a world that had suddenly become [[alien]] and dangerous, Michael was her only security.；e.g. In short, he concluded that the canals were artificial constructs of technologically advanced [[alien]] beings."
uncover|find out about sth. that has been kept secret 发现；揭露|e.g. The investigation [[uncovered]] evidence of a large-scale illegal trade in wild birds.
momentous|"very important or serious, esp. because there may be important results 关键的；重大的；重要的"|e.g. Whether or not to move overseas is a [[momentous]] decision for the family.
spring from|be caused by sth. or start from sth. 由···引起|e.g. His grief sprang from the loss of the most important love he had ever known in his life.
speak of|show clearly that sth. happened or exists 表明；说明|e.g. Her skin spoke of warm summer days spent in the sun.
break new ground|do or discover sth. new 开辟新天地；创新|"e.g. Inventing such a camera wouldn't be easy, but Cameron said he was ready to break new ground."
