sphere|"[C] a particular area of activity, work, knowledge, etc. （活动、工作、知识等的）范围，领域"|e.g. Women have been taking more important positions of power in the public [[sphere]].
foremost|the best or most important 最好的；最重要的|e.g. He is one of the country's [[foremost]] authorities on criminal law.
autobiography|"[C, U] a book in which sb. writes about their own life 自传"|e.g. He gives a vivid description of his childhood in his [[autobiography]].
prominent|important 重要的；著名的；卓越的；杰出的|e.g. He played a [[prominent]] role in promoting public health awareness in developing countries.
complement|make a good combination with sb. / sth. else 补充；使相配；使完美|"e.g. For the show, the museum is borrowing 20 paintings that [[complement]] its own collection."
complementary|"complementary things go well together, although they are usually different 互为补充的；互补的"|e.g. The computer and the human mind have different but [[complementary]] abilities.
forefront|(the ~) a leading or important position 最前线；最前列；最重要的位置|e.g. The company has always been at the [[forefront]] of science and technology.
criticism|"1) writing which expresses judgments about the good or bad qualities of books, films, music, etc. （对书、电影、音乐等的）评论"|e.g. Art [[criticism]] is about how we evaluate and interpret art.；e.g. My main [[criticism]] of the scheme is that it does nothing to help families on low incomes.
criticism|2) remarks that say what you think is bad about sb. / sth. 批评；批判|e.g. Art [[criticism]] is about how we evaluate and interpret art.；e.g. My main [[criticism]] of the scheme is that it does nothing to help families on low incomes.
costume|"1) [C, U] clothes that are typical of a particular place or period of time in the past （代表某一特定地方或历史时期的）服装，装束"|e.g. The dancers were in national [[costume]] to celebrate the National Day.；e.g. Maybe you should take off that wolf [[costume]] and show him how it's done.
costume|"2) [C] a set of clothes worn by an actor or by sb. to make them look like sth., such as an animal or a famous person. 戏装；演出服"|e.g. The dancers were in national [[costume]] to celebrate the National Day.；e.g. Maybe you should take off that wolf [[costume]] and show him how it's done.
iconic|"very famous or popular, esp. being considered to represent particular opinions or a particular time （尤指能代表某种观点或某一时代）非常出名的，受欢迎的"|"e.g. The Phantom of the Opera must be the most [[iconic]] Broadway musical ever, and it's for a good reason — it's so incredible."
masterpiece|"[C] a work of art, a piece of writing or music, etc. that is of very high quality or that is the best that a particular artist, writer, etc. has produced 杰作；名作；代表作"|e.g. Mary Shelley was just 21 when she published her [[masterpiece]] Frankenstein.
elevate|"(fml.) move sb. / sth. to a more important level or rank, or make them better than before 提拔；晋升；提升"|e.g. A well-chosen handbag can really [[elevate]] a woman's level of fashion.
utility|"1) [U] (fml.) the quality of being useful, or the degree to which sth. is useful 有用；实用性"|e.g. I have severe doubts about the [[utility]] of examinations on subjects learned this way.；e.g. Officials said water supplies and other public [[utilities]] in the capital were badly affected.
utility|"2) [C, usu. pl.] a service such as gas or electricity provided for people to use 公用事业（如煤气、电力等）"|e.g. I have severe doubts about the [[utility]] of examinations on subjects learned this way.；e.g. Officials said water supplies and other public [[utilities]] in the capital were badly affected.
temporality|the quality of relating to or limited by time 时效性；短暂性|e.g. He argues that [[temporality]] cannot be identified with ordinary clock time.
constrain|1) limit sth. 限制；束缚|e.g. Poor soil has [[constrained]] the level of crop production in this area.；e.g. Financial factors should not [[constrain]] doctors from prescribing the best treatment for patients.
constrain|2) stop sb. from doing what they want to do 阻止；妨碍|e.g. Poor soil has [[constrained]] the level of crop production in this area.；e.g. Financial factors should not [[constrain]] doctors from prescribing the best treatment for patients.
contour|[C] the shape of the outer edges of sth. such as an area of land or sb.'s body 外形；轮廓|e.g. Maybe you can try this seat — it can be adjusted to fit the [[contours]] of your back.
perception|the way you think about sth. and your idea of what it is like 认识；观念；看法|e.g. There is a general public [[perception]] that social media can be addictive.
avant-garde|"avant-garde music, literature, etc. is extremely modern and often seems strange or slightly shocking （音乐、文学作品等）前卫的，先锋派的"|e.g. His paintings are rather too [[avant-garde]] for my taste.
clear-cut|sharply defined; easy to understand 明确的；易懂的|"e.g. While there are a number of arguments in favor of school uniforms, the issue of whether or not they should be required is not a [[clear-cut]] matter."
blur|1) become or make sth. become difficult to distinguish clearly （使）难以区分|e.g. The design of this museum is meant to [[blur]] the distinction between the house and the garden.；e.g. The words [[blurred]] and danced before his eyes.
blur|"2) become difficult to see, or make sth. difficult to see, because the edges are not clear （使）（某物）模糊不清"|e.g. The design of this museum is meant to [[blur]] the distinction between the house and the garden.；e.g. The words [[blurred]] and danced before his eyes.
rebel|oppose or fight against sb. in authority or against an idea or situation which you do not agree with 造反；反抗；反叛|e.g. A vast majority of the voters [[rebelled]] against the high property taxes.
retrospective|"[C] a show of the work of an artist, actor, film-maker, etc. that includes examples of all the kinds of work they have done （画家、演员、电影制作人等作品的）回顾展"|e.g. We timed the release of the film to coincide with a big [[retrospective]] of Bosch's paintings at Rotterdam.
savage|1) (only before noun) an offensive way of referring to groups of people or customs that are considered to be simple and not highly developed 蒙昧的；未开化的；野蛮的|"e.g. The novel is about a [[savage]] tribe with alien customs and ceremonies.；e.g. They caught the monkey, but it was so [[savage]] that no one could get near enough to feed it."
savage|2) very violent or cruel 凶猛的；残暴的|"e.g. The novel is about a [[savage]] tribe with alien customs and ceremonies.；e.g. They caught the monkey, but it was so [[savage]] that no one could get near enough to feed it."
auction|"[C, U] a public meeting where land, buildings, paintings, etc. are sold to the person who offers the most money for them 拍卖（会）"|"e.g. If he did not come back in time, his whole property would be sold by [[auction]]."
vintage|"1) old, but of high quality 旧式的，老式的（但品质优良）"|"e.g. It looks like a [[vintage]] cell phone of the last century and weighs about 13 ounces.；e.g. They served lobster, accompanied by a bottle of [[vintage]] champagne."
vintage|2) vintage wine is good quality wine made in a particular year （某特定年份酿制的葡萄酒）佳酿的，上等的，优质的|"e.g. It looks like a [[vintage]] cell phone of the last century and weighs about 13 ounces.；e.g. They served lobster, accompanied by a bottle of [[vintage]] champagne."
couture|"[U] (also haute-couture) the design and production of expensive and fashionable clothes, or the clothes themselves 昂贵时装的设计制作；昂贵时装"|e.g. Around 25 designers will show their [[couture]] collections during the international fashion week.
velvet|[U] 天鹅绒；丝绒|
framework|"1) (social  political, etc. framework) the structure of a society, a legal or political system, etc. 社会  政治等的框架"|e.g. There is no escaping the fact that we have to act within the existing legal [[framework]].；e.g. This paper provides a useful conceptual [[framework]] for future research.
framework|"2) [usu. sing.] a set of ideas, rules, or beliefs from which sth. is developed, or on which decisions are based 体系；体制；框架；准则"|e.g. There is no escaping the fact that we have to act within the existing legal [[framework]].；e.g. This paper provides a useful conceptual [[framework]] for future research.
inescapable|an inescapable fact or situation is one that you cannot avoid or ignore 不可避免的；不容忽视的|e.g. She didn't want to confront the [[inescapable]] fact that she would have to sell the house.
constraint|[C] sth. that limits your freedom to do what you want 限制；束缚；约束|e.g. [[Constraints]] on spending have forced the company to rethink its plans.
byproduct|1) an unplanned additional result of sth. that you do 意外附带结果|e.g. The deep depression he fell into was a [[byproduct]] of his disease.；e.g. Sugar and its [[byproducts]] are the basis of the island's economy.
byproduct|2) sth. additional that is produced during a natural or industrial process 副产物；副产品|e.g. The deep depression he fell into was a [[byproduct]] of his disease.；e.g. Sugar and its [[byproducts]] are the basis of the island's economy.
aesthetic|connected with beauty and the study of beauty 美学的|"e.g. From an [[aesthetic]] point of view, this piece of furniture is a nice design."
commodity|[C] a product that is bought and sold 商品|"e.g. [[Commodity]] prices can be a useful indicator of inflation, he claimed."
leverage|use sth. that you already have in order to achieve sth. new or better 借助已有的···实现新（或更好）的目标|e.g. We can gain a market advantage by [[leveraging]] our network of partners.
collaborate|"work together with a person or group in order to achieve sth., esp. in science or art （尤指在科学或艺术方面）合作，协作"|e.g. Educators and employers need to [[collaborate]] in preparing the next generation for employment.
collaboration|"[C, U] when you work together with another person or group to achieve sth., esp. in science or art （尤指在科学或艺术方面的）合作，协作"|e.g. The company is building the center in [[collaboration]] with an engineering institute.
profusion|"[U, sing.] (fml.) a very large amount of sth. 大量；丰富；充沛"|e.g. It is a delightful river with a [[profusion]] of wild flowers along its banks.
nonexistent|"sth. that is nonexistent does not exist at all, or is not present in a particular place 不存在的"|e.g. Her friends never missed a chance to tease her about her [[nonexistent]] relationship with Brandon.
symbiotic|"(fml.) a symbiotic relationship is one in which the people, organizations, or living things involved depend on each other （人、组织或生物）互相依赖的，共生的"|e.g. Do some viruses develop a [[symbiotic]] relationship with their host?
interchange|"[C, U] an exchange, esp. of ideas or thoughts （尤指观点或思想的）交流"|e.g. What made the meeting exciting was the [[interchange]] of ideas from different disciplines.
rightful|(fml.) (only before noun) according to what is correct or what should be done legally or morally 正确的；合法的；正义的|"e.g. George sat at the head of the table, in his [[rightful]] place as their leader."
elaborate|very complicated and detailed; carefully prepared and organized 复杂的；详尽的；精心制作的|e.g. You need a plain blouse to go with that skirt — nothing too [[elaborate]].
conceptual|"(fml.) dealing with ideas, or based on them 概念的"|"e.g. Some of us learn experientially, while others are more attracted to logical or [[conceptual]] learning."
spiritual|relating to your spirit rather than to your body or mind 精神的；心灵的|"e.g. While improving material well-being, we should also enrich our [[spiritual]] life."
first and foremost|"used to emphasize the most important quality, purpose, reason, etc. 首先，首要的是（用于强调）"|e.g. What children need first and [[foremost]] from their parents is a sense of security.
computational|using computers 使用计算机的|e.g. Students may pursue research in any aspect of [[computational]] linguistics based on their own interest.
emergence|[U] when sth. begins to be known or noticed 出现；显现|e.g. Future research should look at the behavior and ecology of these worms to understand what caused the [[emergence]] of new species.
consciousness|"1) [C, U] mind and thoughts 思想；意识"|"e.g. The flow of everyday life provides a context in which individual human [[consciousness]] operates.；e.g. When the man finally regains [[consciousness]] and walks to a mirror, he is unsure of who he is."
consciousness|2) [U] the condition of being awake and able to understand what is happening around you 神志清醒|"e.g. The flow of everyday life provides a context in which individual human [[consciousness]] operates.；e.g. When the man finally regains [[consciousness]] and walks to a mirror, he is unsure of who he is."
subjective|"based on or influenced by personal feelings, tastes or opinions rather than facts 主观的"|e.g. We know that taste in art is a [[subjective]] matter and differs from person to person.
quirk|"1) a strange habit or feature of sb.'s character, or a strange feature of sth. 怪癖；古怪"|"e.g. She took pride in her children's [[quirks]] and individuality, and made no effort to try to change them.；e.g. Years later, by a strange [[quirk]] of fate, she found herself sitting next to him on a plane."
quirk|2) sth. strange that happens by chance （偶然发生的）奇事，巧合|"e.g. She took pride in her children's [[quirks]] and individuality, and made no effort to try to change them.；e.g. Years later, by a strange [[quirk]] of fate, she found herself sitting next to him on a plane."
time-scale|[C] (esp. BrE) the period of time it takes for sth. to happen or be completed （做某事所需要的）时间，时段|e.g. The [[time-scale]] for completing the work would be fairly tight and we have to work hard.
empathise|" be able to understand sb. else's feelings, problems, etc., esp. because you have had similar experiences 同情；有同感；产生共鸣"|e.g. My mother died last year so I can really [[empathise]] with what he's going through.
conceive|"think of a new idea, plan, etc. and develop it in your mind 构思，设想，想出（新的主意、计划等）"|e.g. Scientists first [[conceived]] the idea of the atomic bomb in the 1930s.；e.g. Language may be [[conceived]] of as a process which arises from social interaction.
conceive|v.(fml.) imagine a particular situation or think about sth. in a particular way 想象；构想；设想|e.g. Scientists first [[conceived]] the idea of the atomic bomb in the 1930s.；e.g. Language may be [[conceived]] of as a process which arises from social interaction.
artefact|[C] (esp. BrE) (also artifact esp. AmE) an object such as a tool or weapon that was made in the past and is historically important 人工制品，手工艺品（有史学价值的工具、武器等）|e.g. The museum is well-known for having many [[artefacts]] dating back to prehistoric times.
coherent|"if a piece of writing, set of ideas, etc. is coherent, it is easy to understand because it is clear and reasonable （文章、观点等）连贯的，有条理的，一致的"|e.g. It makes me crazy that the board seems to have no [[coherent]] plan for saving the company.
implausibly|in a way that is difficult to believe and therefore unlikely to be true 难以置信地；不可能真实地|"e.g. He argued, somewhat [[implausibly]], that the accident could not have been prevented."
misinterpretation|"[C, U] the act of forming a wrong understanding of sth. that is said or done, or an example of a wrong understanding 误解"|e.g. It appears that this universally promoted idea was based on a [[misinterpretation]] of the test results.
authentically|in the traditional or original way 正宗地；原汁原味地|e.g. Consumers are increasingly interested in the [[authentically]] prepared food.
orchestra|[C] （大型的）管弦乐队|
symphony|[C] 交响乐；交响曲|
considerably|much; a lot 很；非常；相当大（多）地|e.g. Housing conditions in this area have improved [[considerably]] over the past few years.
acoustics|"1) [pl.] the shape and size of a room, which affect the way sound is heard in it （房间的）传声效果，音响效果"|e.g. The auditorium has comfortable seating and modern [[acoustics]].
acoustics|2) [U] the scientific study of sound 声学|e.g. The auditorium has comfortable seating and modern [[acoustics]].
formalise|"(esp. BrE)  make a plan, decision, or idea official, esp. by deciding and clearly describing all the details 使（计划、决定或想法）正式化；使定形；使具体化"|e.g. Final arrangements for the takeover of the company have yet to be [[formalised]].
contextual|(usu. before noun) relating to a particular context 与上下文有关的|e.g. Now We need to examine the role of [[contextual]] factors directly and in more detail.
execute|1) do sth. that has been carefully planned 实行；执行|e.g. The job involves drawing up and [[executing]] a plan of nursing care.；e.g. Anyone caught trying to escape from that prison would be [[executed]].
execute|"2) kill sb., esp. legally as a punishment （尤指依法）将···处死"|e.g. The job involves drawing up and [[executing]] a plan of nursing care.；e.g. Anyone caught trying to escape from that prison would be [[executed]].
formula|1) a list of the exact amounts of the ingredients that are used for making sth. 配方|e.g. The [[formulas]] for these drinks are closely guarded secrets of the company.；e.g. He developed a mathematical [[formula]] describing the distances of the planets from the Sun.
formula|2) a series of numbers or letters that represent a mathematical or scientific rule 公式；方程式；分子式|e.g. The [[formulas]] for these drinks are closely guarded secrets of the company.；e.g. He developed a mathematical [[formula]] describing the distances of the planets from the Sun.
artistic|1) relating to art or culture 美术的；艺术的|"e.g. According to a famous art critic, opinion about the [[artistic]] merit of his paintings has been mixed.；e.g. His friends are all [[artistic]] — they're painters, musicians, dancers, and writers."
artistic|"2) good at painting, drawing, or producing beautiful things 艺术精湛的；有艺术才华的"|"e.g. According to a famous art critic, opinion about the [[artistic]] merit of his paintings has been mixed.；e.g. His friends are all [[artistic]] — they're painters, musicians, dancers, and writers."
volition|"[U] (of one's own ~) (fml.) if you do sth. of your own volition, you do it because you want to, not because you are forced to 出于自愿"|"e.g. To everyone's astonishment, Helena left the company of her own [[volition]]."
procedural|(only before noun) (fml.) connected with a procedure 程序性的；手续上的|e.g. The business of the committee was delayed by [[procedural]] difficulties.
